date,starttime,endtime,session_id,block_focus,keystroke_intervals_mean,burstiness,scroll_rate,idle_time_percent,microEMA,sleep_hours_prev_night,action,reward
2026-01-02,04:20,04:33,20260102_night_0001,Windsurf,6247.625738,13793.929593,122.719414,0.796951,0.0,9.4,night,0.811454
2026-01-02,04:34,04:41,20260102_night_0002,Windsurf,5800.055831,6472.301579,154.235191,0.924155,0.0,5.1,night,0.352108
2026-01-02,04:55,05:06,20260102_night_0003,Windsurf,9970.988514,9881.473487,96.127266,0.943324,0.0,7.7,night,0.165715
2026-01-02,05:20,05:25,20260102_night_0004,Windsurf,5027.494388,7043.311521,127.716412,0.924722,0.0,9.8,night,0.465205
